period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2025-05,2025-Q2,P_agressif,MSA,0.1736,17.36,2025-05-30
2025-05,2025-Q2,P_agressif,DRI,0.1348,13.48,2025-05-30
2025-05,2025-Q2,P_agressif,DWY,0.111,11.1,2025-05-30
2025-05,2025-Q2,P_agressif,MIC,0.0866,8.66,2025-05-30
2025-05,2025-Q2,P_agressif,EQD,0.0636,6.36,2025-05-30
2025-05,2025-Q2,P_agressif,MNG,0.0602,6.02,2025-05-30
2025-05,2025-Q2,P_agressif,LBV,0.0517,5.17,2025-05-30
2025-05,2025-Q2,P_agressif,JET,0.0335,3.35,2025-05-30
2025-05,2025-Q2,P_agressif,CSR,0.0238,2.38,2025-05-30
2025-05,2025-Q2,P_agressif,SNP,0.0209,2.09,2025-05-30
2025-05,2025-Q2,P_agressif,HPS,0.0204,2.04,2025-05-30
2025-05,2025-Q2,P_agressif,GAZ,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,STR,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,TQM,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,SID,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,WAA,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,RDS,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,DHO,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,CTM,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,SOT,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,SMI,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_agressif,MUT,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,MSA,0.1572,15.72,2025-05-30
2025-05,2025-Q2,P_equilibre,DRI,0.1208,12.08,2025-05-30
2025-05,2025-Q2,P_equilibre,DWY,0.1101,11.01,2025-05-30
2025-05,2025-Q2,P_equilibre,MIC,0.0785,7.85,2025-05-30
2025-05,2025-Q2,P_equilibre,MNG,0.0701,7.01,2025-05-30
2025-05,2025-Q2,P_equilibre,LBV,0.0595,5.95,2025-05-30
2025-05,2025-Q2,P_equilibre,EQD,0.0571,5.71,2025-05-30
2025-05,2025-Q2,P_equilibre,SNP,0.0394,3.94,2025-05-30
2025-05,2025-Q2,P_equilibre,JET,0.0334,3.34,2025-05-30
2025-05,2025-Q2,P_equilibre,SOT,0.0308,3.08,2025-05-30
2025-05,2025-Q2,P_equilibre,CSR,0.023,2.3,2025-05-30
2025-05,2025-Q2,P_equilibre,HPS,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,STR,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,TQM,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,SID,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,WAA,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,RDS,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,GAZ,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,DHO,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,CTM,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,SMI,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_equilibre,MUT,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,MSA,0.1289,12.89,2025-05-30
2025-05,2025-Q2,P_defensif,DWY,0.1223,12.23,2025-05-30
2025-05,2025-Q2,P_defensif,DRI,0.1188,11.88,2025-05-30
2025-05,2025-Q2,P_defensif,MIC,0.0907,9.07,2025-05-30
2025-05,2025-Q2,P_defensif,MNG,0.081,8.1,2025-05-30
2025-05,2025-Q2,P_defensif,EQD,0.0667,6.67,2025-05-30
2025-05,2025-Q2,P_defensif,SOT,0.044,4.4,2025-05-30
2025-05,2025-Q2,P_defensif,LBV,0.0396,3.96,2025-05-30
2025-05,2025-Q2,P_defensif,JET,0.0384,3.84,2025-05-30
2025-05,2025-Q2,P_defensif,CSR,0.0266,2.66,2025-05-30
2025-05,2025-Q2,P_defensif,SNP,0.023,2.3,2025-05-30
2025-05,2025-Q2,P_defensif,HPS,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,STR,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,TQM,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,SID,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,WAA,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,RDS,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,GAZ,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,DHO,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,CTM,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,SMI,0.02,2.0,2025-05-30
2025-05,2025-Q2,P_defensif,MUT,0.02,2.0,2025-05-30
