period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2024-01,2024-Q1,P_agressif,DRI,0.3416,34.16,2024-01-31
2024-01,2024-Q1,P_agressif,MSA,0.0792,7.92,2024-01-31
2024-01,2024-Q1,P_agressif,SMI,0.0532,5.32,2024-01-31
2024-01,2024-Q1,P_agressif,MNG,0.0495,4.95,2024-01-31
2024-01,2024-Q1,P_agressif,GAZ,0.0411,4.11,2024-01-31
2024-01,2024-Q1,P_agressif,MUT,0.0375,3.75,2024-01-31
2024-01,2024-Q1,P_agressif,SOT,0.0332,3.32,2024-01-31
2024-01,2024-Q1,P_agressif,HPS,0.0328,3.28,2024-01-31
2024-01,2024-Q1,P_agressif,OUL,0.0303,3.03,2024-01-31
2024-01,2024-Q1,P_agressif,EQD,0.0287,2.87,2024-01-31
2024-01,2024-Q1,P_agressif,LBV,0.0258,2.58,2024-01-31
2024-01,2024-Q1,P_agressif,CMT,0.0258,2.58,2024-01-31
2024-01,2024-Q1,P_agressif,M2M,0.0235,2.35,2024-01-31
2024-01,2024-Q1,P_agressif,DWY,0.0231,2.31,2024-01-31
2024-01,2024-Q1,P_agressif,CSR,0.0224,2.24,2024-01-31
2024-01,2024-Q1,P_agressif,RDS,0.022,2.2,2024-01-31
2024-01,2024-Q1,P_agressif,SNP,0.0219,2.19,2024-01-31
2024-01,2024-Q1,P_agressif,TQM,0.0219,2.19,2024-01-31
2024-01,2024-Q1,P_agressif,WAA,0.0219,2.19,2024-01-31
2024-01,2024-Q1,P_agressif,MIC,0.0216,2.16,2024-01-31
2024-01,2024-Q1,P_agressif,SID,0.0215,2.15,2024-01-31
2024-01,2024-Q1,P_agressif,JET,0.0215,2.15,2024-01-31
2024-01,2024-Q1,P_equilibre,DRI,0.2307,23.07,2024-01-31
2024-01,2024-Q1,P_equilibre,LBV,0.1068,10.68,2024-01-31
2024-01,2024-Q1,P_equilibre,GAZ,0.0638,6.38,2024-01-31
2024-01,2024-Q1,P_equilibre,WAA,0.0624,6.24,2024-01-31
2024-01,2024-Q1,P_equilibre,MSA,0.0613,6.13,2024-01-31
2024-01,2024-Q1,P_equilibre,EQD,0.0577,5.77,2024-01-31
2024-01,2024-Q1,P_equilibre,CMT,0.0526,5.26,2024-01-31
2024-01,2024-Q1,P_equilibre,SOT,0.0511,5.11,2024-01-31
2024-01,2024-Q1,P_equilibre,SMI,0.0439,4.39,2024-01-31
2024-01,2024-Q1,P_equilibre,MUT,0.0297,2.97,2024-01-31
2024-01,2024-Q1,P_equilibre,SNP,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,MIC,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,HPS,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,TQM,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,MNG,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,JET,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,CSR,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,RDS,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,DWY,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,SID,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,OUL,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_equilibre,M2M,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,DRI,0.226,22.6,2024-01-31
2024-01,2024-Q1,P_defensif,OUL,0.1235,12.35,2024-01-31
2024-01,2024-Q1,P_defensif,M2M,0.1065,10.65,2024-01-31
2024-01,2024-Q1,P_defensif,EQD,0.0564,5.64,2024-01-31
2024-01,2024-Q1,P_defensif,SOT,0.0502,5.02,2024-01-31
2024-01,2024-Q1,P_defensif,GAZ,0.0455,4.55,2024-01-31
2024-01,2024-Q1,P_defensif,SMI,0.0429,4.29,2024-01-31
2024-01,2024-Q1,P_defensif,CSR,0.0407,4.07,2024-01-31
2024-01,2024-Q1,P_defensif,MIC,0.0391,3.91,2024-01-31
2024-01,2024-Q1,P_defensif,LBV,0.0293,2.93,2024-01-31
2024-01,2024-Q1,P_defensif,SNP,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,MSA,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,HPS,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,TQM,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,MNG,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,JET,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,WAA,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,RDS,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,DWY,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,SID,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,MUT,0.02,2.0,2024-01-31
2024-01,2024-Q1,P_defensif,CMT,0.02,2.0,2024-01-31
