period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2025-04,2025-Q2,P_agressif,MSA,0.1632,16.32,2025-04-30
2025-04,2025-Q2,P_agressif,CSR,0.1496,14.96,2025-04-30
2025-04,2025-Q2,P_agressif,MNG,0.0774,7.74,2025-04-30
2025-04,2025-Q2,P_agressif,SOT,0.0642,6.42,2025-04-30
2025-04,2025-Q2,P_agressif,M2M,0.0538,5.38,2025-04-30
2025-04,2025-Q2,P_agressif,DWY,0.0535,5.35,2025-04-30
2025-04,2025-Q2,P_agressif,CMT,0.0499,4.99,2025-04-30
2025-04,2025-Q2,P_agressif,MUT,0.0479,4.79,2025-04-30
2025-04,2025-Q2,P_agressif,SNP,0.0388,3.88,2025-04-30
2025-04,2025-Q2,P_agressif,LBV,0.038,3.8,2025-04-30
2025-04,2025-Q2,P_agressif,CTM,0.0344,3.44,2025-04-30
2025-04,2025-Q2,P_agressif,MIC,0.0293,2.93,2025-04-30
2025-04,2025-Q2,P_agressif,HPS,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,TQM,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,JET,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,WAA,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,GAZ,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,RDS,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,DHO,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,SID,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,SMI,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_agressif,STR,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,MSA,0.1646,16.46,2025-04-30
2025-04,2025-Q2,P_equilibre,CSR,0.1541,15.41,2025-04-30
2025-04,2025-Q2,P_equilibre,SOT,0.0967,9.67,2025-04-30
2025-04,2025-Q2,P_equilibre,MNG,0.0701,7.01,2025-04-30
2025-04,2025-Q2,P_equilibre,M2M,0.0537,5.37,2025-04-30
2025-04,2025-Q2,P_equilibre,CMT,0.0499,4.99,2025-04-30
2025-04,2025-Q2,P_equilibre,DWY,0.0445,4.45,2025-04-30
2025-04,2025-Q2,P_equilibre,LBV,0.0381,3.81,2025-04-30
2025-04,2025-Q2,P_equilibre,MUT,0.0374,3.74,2025-04-30
2025-04,2025-Q2,P_equilibre,CTM,0.0344,3.44,2025-04-30
2025-04,2025-Q2,P_equilibre,MIC,0.0292,2.92,2025-04-30
2025-04,2025-Q2,P_equilibre,SNP,0.0273,2.73,2025-04-30
2025-04,2025-Q2,P_equilibre,HPS,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,TQM,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,JET,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,WAA,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,GAZ,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,RDS,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,DHO,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,SID,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,SMI,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_equilibre,STR,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,CSR,0.1521,15.21,2025-04-30
2025-04,2025-Q2,P_defensif,MSA,0.1263,12.63,2025-04-30
2025-04,2025-Q2,P_defensif,SOT,0.098,9.8,2025-04-30
2025-04,2025-Q2,P_defensif,MNG,0.0782,7.82,2025-04-30
2025-04,2025-Q2,P_defensif,MUT,0.0608,6.08,2025-04-30
2025-04,2025-Q2,P_defensif,DWY,0.0558,5.58,2025-04-30
2025-04,2025-Q2,P_defensif,M2M,0.0545,5.45,2025-04-30
2025-04,2025-Q2,P_defensif,CMT,0.0505,5.05,2025-04-30
2025-04,2025-Q2,P_defensif,LBV,0.0385,3.85,2025-04-30
2025-04,2025-Q2,P_defensif,CTM,0.0347,3.47,2025-04-30
2025-04,2025-Q2,P_defensif,MIC,0.0296,2.96,2025-04-30
2025-04,2025-Q2,P_defensif,SNP,0.0209,2.09,2025-04-30
2025-04,2025-Q2,P_defensif,DHO,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,SID,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,RDS,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,HPS,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,GAZ,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,TQM,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,JET,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,WAA,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,SMI,0.02,2.0,2025-04-30
2025-04,2025-Q2,P_defensif,STR,0.02,2.0,2025-04-30
